Iteration,Gaussian NB,Hoeffding Tree,IELM,SGD Perceptron,Adaptive RF
470,0.7894,0.8340,0.8064,0.9170,0.8723
471,0.7898,0.8344,0.8068,0.9172,0.8726
472,0.7903,0.8347,0.8072,0.9174,0.8729
473,0.7907,0.8351,0.8076,0.9175,0.8732
474,0.7890,0.8333,0.8059,0.9156,0.8713
475,0.7874,0.8316,0.8042,0.9158,0.8716
476,0.7857,0.8319,0.8025,0.9160,0.8718
477,0.7862,0.8323,0.8029,0.9140,0.8721
478,0.7866,0.8326,0.8033,0.9142,0.8724
479,0.7871,0.8330,0.8038,0.9144,0.8727
480,0.7875,0.8333,0.8042,0.9146,0.8729
481,0.7879,0.8316,0.8046,0.9148,0.8732
482,0.7884,0.8299,0.8050,0.9149,0.8734
483,0.7888,0.8282,0.8054,0.9130,0.8716
484,0.7893,0.8285,0.8037,0.9112,0.8719
485,0.7897,0.8289,0.8021,0.9113,0.8722
486,0.7901,0.8292,0.8004,0.9115,0.8724
487,0.7906,0.8296,0.7988,0.9117,0.8727
488,0.7910,0.8299,0.7971,0.9119,0.8730
489,0.7914,0.8303,0.7955,0.9121,0.8732
490,0.7918,0.8306,0.7939,0.9122,0.8735
491,0.7923,0.8310,0.7943,0.9124,0.8737
492,0.7927,0.8313,0.7947,0.9126,0.8720
493,0.7931,0.8316,0.7951,0.9128,0.8702
494,0.7935,0.8320,0.7955,0.9130,0.8704
495,0.7939,0.8323,0.7960,0.9131,0.8707
496,0.7944,0.8327,0.7944,0.9133,0.8710
497,0.7948,0.8330,0.7948,0.9135,0.8712
498,0.7952,0.8333,0.7952,0.9137,0.8715
499,0.7956,0.8317,0.7956,0.9138,0.8717
500,0.7960,0.8320,0.7960,0.9140,0.8720
501,0.7980,0.8340,0.7980,0.9160,0.8740
502,0.7980,0.8340,0.7980,0.9160,0.8740
503,0.7980,0.8340,0.7980,0.9160,0.8740
504,0.7980,0.8340,0.7980,0.9160,0.8740
505,0.8000,0.8360,0.8000,0.9180,0.8760
506,0.8020,0.8380,0.8000,0.9180,0.8780
507,0.8020,0.8380,0.8000,0.9180,0.8780
508,0.8020,0.8380,0.8000,0.9180,0.8780
509,0.8020,0.8380,0.8000,0.9180,0.8780
510,0.8020,0.8380,0.8000,0.9180,0.8780
